id,battle_id1,battle_id2,battle_scens
7001,1700001,1720001,battle_map_5_1
7002,1700002,1720002,battle_map_5_1
7003,1700003,1720003,battle_map_5_1
7004,1700004,1720004,battle_map_5_1
7005,1700005,1720005,battle_map_5_1
7006,1700006,1720006,battle_map_5_1
7007,1700007,1720007,battle_map_5_1
7008,1700008,1720008,battle_map_5_1
7009,1700009,1720009,battle_map_5_1
7010,1700010,1720010,battle_map_5_1
7011,1700011,1720011,battle_map_5_1
7012,1700012,1720012,battle_map_5_1
7013,1700013,1720013,battle_map_5_1
7014,1700014,1720014,battle_map_5_1
7015,1700015,1720015,battle_map_5_1
7016,1700016,1720016,battle_map_5_1
7017,1700017,1720017,battle_map_5_1
7018,1700018,1720018,battle_map_5_1
7019,1700019,1720019,battle_map_5_1
7020,1700020,1720020,battle_map_5_1
7021,1700021,1720021,battle_map_5_1
7022,1700022,1720022,battle_map_5_1
7023,1700023,1720023,battle_map_5_1
7024,1700024,1720024,battle_map_5_1
7025,1700025,1720025,battle_map_5_1
7026,1700026,1720026,battle_map_5_1
7027,1700027,1720027,battle_map_5_1
7028,1700028,1720028,battle_map_5_1
7029,1700029,1720029,battle_map_5_1
7030,1700030,1720030,battle_map_5_1
7031,1700031,1720031,battle_map_5_1
7032,1700032,1720032,battle_map_5_1
7033,1700033,1720033,battle_map_5_1
7034,1700034,1720034,battle_map_5_1
7035,1700035,1720035,battle_map_5_1
7036,1700036,1720036,battle_map_5_1
7037,1700037,1720037,battle_map_5_1
7038,1700038,1720038,battle_map_5_1
7039,1700039,1720039,battle_map_5_1
7040,1700040,1720040,battle_map_5_1
7041,1700041,1720041,battle_map_5_1
7042,1700042,1720042,battle_map_5_1
7043,1700043,1720043,battle_map_5_1
7044,1700044,1720044,battle_map_5_1
7045,1700045,1720045,battle_map_5_1
7046,1700046,1720046,battle_map_5_1
7047,1700047,1720047,battle_map_5_1
7048,1700048,1720048,battle_map_5_1
7049,1700049,1720049,battle_map_5_1
7050,1700050,1720050,battle_map_5_1
